AGE,ESPAC,B2,MIN_B2,AVG_B2,MAX_B2,StDev_B2
-2,4X1.85,128.0,103.5,118.10697887970615,128.0,6.7812652114572023
-2,4X1.85,130.5,103.5,119.27782357790602,130.5,7.3045700608680653
12,3.5x2.14,81.0,56.0,69.973029045643159,81.0,7.23031081881359
12,3.5x2.14,124.0,56.0,92.149616368286445,124.0,18.619737262639312
12,3.5x2.14,129.0,56.0,95.989192263936289,129.0,20.678211639079311
12,3.5x2.14,138.0,56.0,104.56719717064544,138.0,24.302425186075691
12,3.5x2.14,139.0,56.0,106.30142737195634,139.0,24.8509470521642
12,3.5x2.14,156.5,56.0,122.55478750640042,156.5,28.253809203297159
12,3.5x2.14,180.0,56.0,133.0357421875,180.0,31.197419881530195
12,3.5x2.14,184.0,56.0,134.00765990042129,184.0,31.649961394067667
12,3.5x2.14,185.0,56.0,134.22158657513347,185.0,31.755046333549547
12,3.5x2.14,190.0,56.0,135.59959123002602,190.0,32.476816492665542
11,3.5x2.14,36.0,31.0,33.680327868852459,36.0,1.6381717118107764
11,3.5x2.14,47.0,31.0,39.784403669724767,47.0,4.8120753316620215
11,3.5x2.14,50.0,31.0,41.690909090909088,50.0,5.6939035372673263
11,3.5x2.14,112.5,31.0,67.321390937829293,112.5,23.170232607289666
1,4X1.85,333.5,251.5,297.91240310077518,333.5,22.132256412187
1,4X1.85,397.0,251.5,326.00666074600355,397.0,38.553993824816452
1,4X1.85,405.5,251.5,329.89890480202189,405.5,41.10984912872626
1,4X1.85,408.0,251.5,331.11504975124376,408.0,41.902645971349607
1,4X1.85,408.5,251.5,331.14711976792375,408.5,41.923567587590931
13,3.5x2.14,93.5,54.0,77.126056338028164,93.5,10.461998393119719
13,3.5x2.14,104.0,54.0,81.889254385964918,104.0,12.926640718984091
13,3.5x2.14,105.0,54.0,82.287715517241381,105.0,13.163345202167685
13,3.5x2.14,142.0,54.0,89.678040244969381,142.0,20.08891179834815
-1,4X1.85,65.0,56.5,61.082508250825086,65.0,2.5455696442394617
-1,4X1.85,66.0,56.5,61.507530120481931,66.0,2.7941626542968208
-1,4X1.85,82.0,56.5,68.621079046424086,82.0,7.0895267321914641
-1,4X1.85,91.0,56.5,71.848406988694762,91.0,9.4655477750591075
-1,4X1.85,93.0,56.5,72.405,93.0,9.9175517559946638
-1,4X1.85,99.0,56.5,73.174249757986445,99.0,10.640880063725168
-1,4X1.85,104.0,56.5,74.511542012927052,104.0,12.045416433107889
-1,4X1.85,130.0,56.5,95.177668901495622,130.0,25.330595790625761
-1,4X1.85,148.5,56.5,113.59229607250755,148.5,29.440547903345031
-1,4X1.85,151.0,56.5,115.61455064194008,151.0,29.799073900738662
-1,4X1.85,158.5,56.5,119.76518631955079,158.5,30.676513804735844
-1,4X1.85,160.5,56.5,120.96794554455445,160.5,30.969360458151737
-1,4X1.85,162.5,56.5,121.97586290127927,162.5,31.226809207800418
0,4X1.85,121.5,108.5,115.29776119402985,121.5,3.6555436619688466
0,4X1.85,123.0,108.5,116.29601029601029,123.0,4.2190989461518473
0,4X1.85,127.5,108.5,118.28672745694023,127.5,5.38058225900589
0,4X1.85,132.0,108.5,120.86130811662727,132.0,6.7910795908956088
0,4X1.85,136.0,108.5,122.79513184584178,136.0,7.8958642224614479
0,4X1.85,162.0,108.5,130.71418949259092,162.0,13.489053024133531
0,4X1.85,165.0,108.5,131.11224489795919,165.0,13.887292854058636
0,4X1.85,430.0,108.5,140.69730392156862,430.0,44.509106538520051
0,4X1.85,447.0,108.5,147.86762360446571,447.0,63.503631620353389
0,4X1.85,458.0,108.5,154.54699687987519,458.0,77.095141111605272
0,4X1.85,490.0,108.5,201.58266666666665,490.0,134.55527255870234
0,4X1.85,493.5,108.5,209.58184764991896,493.5,140.94406894868638
0,4X1.85,525.5,108.5,284.46287731256086,525.5,178.46929132116097
0,4X1.85,552.0,108.5,326.9664572355087,552.0,188.45249839512013
0,4X1.85,569.0,108.5,342.90643882175226,569.0,191.18520029092386
0,4X1.85,607.0,108.5,371.07545591433831,607.0,196.39996741436909
0,4X1.85,629.5,108.5,390.79006928406466,629.5,199.96122372385781
0,4X1.85,648.0,108.5,403.49065284066012,648.0,202.25504994830479
0,4X1.85,662.0,108.5,410.981366019555,662.0,203.76429696776776
0,4X1.85,662.5,108.5,411.01700198356474,662.5,203.77185360990498
0,4X1.85,678.0,108.5,417.60466721900025,678.0,205.26399382820324
0,4X1.85,695.0,108.5,422.21634093376764,695.0,206.48397457630449
0,4X1.85,721.5,108.5,427.140522875817,721.5,208.05778568397295
0,4X1.85,750.0,108.5,430.63550046155876,750.0,209.43457153754292
0,4X1.85,751.0,108.5,430.76219351436856,751.0,209.4900200249628
0,4X1.85,790.0,108.5,436.02868267358861,790.0,212.08193655818286
0,4X1.85,892.5,108.5,486.972586344466,892.5,241.48870583847068
0,4X1.85,899.0,108.5,492.94131191733123,899.0,244.68281789561863
0,4X1.85,902.5,108.5,495.35763733809739,902.5,245.95982726087269
0,4X1.85,912.5,108.5,503.79372197309419,912.5,250.33526752557546
0,4X1.85,934.0,108.5,520.690773590847,934.0,258.73150120223193
0,4X1.85,965.0,108.5,539.07062487442238,965.0,267.60348413513088
-2,4X1.85,104.5,103.5,104.01785714285714,104.5,0.16567163289800083
-2,4X1.85,144.5,103.5,125.46616941928609,144.5,10.491991101301473
12,3.5x2.14,57.0,56.0,56.4,57.0,0.5163977794943222
12,3.5x2.14,80.0,56.0,69.346491228070178,80.0,6.9253817760767609
12,3.5x2.14,95.5,56.0,78.42776523702031,95.5,10.989370479994367
12,3.5x2.14,123.5,56.0,91.484334203655351,123.5,18.228696474982812
12,3.5x2.14,159.0,56.0,124.43868153174988,159.0,28.614180666501909
12,3.5x2.14,179.5,56.0,132.72178529296107,179.5,31.063463965034398
11,3.5x2.14,40.0,31.0,36.108333333333334,40.0,2.854440248394186
11,3.5x2.14,70.0,31.0,51.309153713298791,70.0,10.776284474160231
11,3.5x2.14,120.0,31.0,73.9876937101185,120.0,27.390460069093617
11,3.5x2.14,147.0,31.0,98.50570342205323,147.0,36.831547280313842
11,3.5x2.14,167.0,31.0,106.6543843283582,167.0,39.665054708098076
11,3.5x2.14,196.0,31.0,115.01430941518042,196.0,44.357486638467421
1,4X1.85,260.0,251.5,255.72794117647058,260.0,2.4455775247012652
1,4X1.85,288.0,251.5,272.05184331797233,288.0,10.026360582237587
1,4X1.85,314.0,251.5,287.47991313789362,314.0,17.099671951882936
1,4X1.85,351.0,251.5,306.24417872876023,351.0,26.502254533785941
1,4X1.85,399.0,251.5,326.707783641161,399.0,39.017540767743107
1,4X1.85,426.0,251.5,338.45620022753127,426.0,46.75576490680686
1,4X1.85,427.0,251.5,338.79051756705707,427.0,46.982167987866532
1,4X1.85,450.5,251.5,347.79030594706086,450.5,53.206858283885168
1,4X1.85,457.0,251.5,350.114492266308,457.0,54.872548304944004
1,4X1.85,476.0,251.5,355.53895479320295,476.0,58.959246579428061
1,4X1.85,490.0,251.5,359.90804953560371,490.0,62.399897390927563
13,3.5x2.14,75.0,54.0,66.377622377622373,75.0,6.2532003829104035
13,3.5x2.14,95.5,54.0,77.9859437751004,95.5,10.874072171423538
13,3.5x2.14,124.0,54.0,86.100094428706328,124.0,16.092622092542314
13,3.5x2.14,133.0,54.0,87.346471127406048,133.0,17.407581231309084
13,3.5x2.14,134.0,54.0,87.431838975297353,134.0,17.505655078011536
13,3.5x2.14,144.5,54.0,90.46982758620689,144.5,20.972278098310827
-1,4X1.85,74.5,56.5,65.489949748743712,74.5,5.1367114833560965
-1,4X1.85,87.0,56.5,70.626923076923077,87.0,8.5227702764063373
-1,4X1.85,117.5,56.5,81.452524491333833,117.5,18.297431782529351
